Date,close,high,low,open,volume,ema_20,ema_50,ema_200,dema_20,rsi_14,rsi_7,macd_line,macd_signal,macd_hist,stoch_k,stoch_d,atr_14,atr_7,bb_upper,bb_mid,bb_lower,bb_width,bb_pct,plus_di,minus_di,adx_14,ichimoku_tenkan,ichimoku_kijun,ichimoku_span_a,ichimoku_span_b,ichimoku_chikou,volatility_5,volatility_10,volatility_20,dist_ema20,dist_ema50,dist_ema200,price_pct_high_20,ret_1,ret_5,ret_20,log_ret_lag_1,log_ret_lag_2,log_ret_lag_3,log_ret_lag_5,volume_ma,volume_ratio,asset,hour
2019-04-24,1275.5,1275.5,1267.800048828125,1268.4000244140625,518,1285.7726557298304,1293.779375720247,1297.8309132206018,1276.115870589405,40.29645715601839,25.40706898402739,-7.654007531673415,-5.755738983535273,-1.8982685481381418,22.041775826665724,12.805505767085677,8.355364206693286,7.478917392460475,1311.6488957709237,1287.5550048828125,1263.4611139947012,48.18778177622244,0.24983274933064417,22.521640455544517,40.45864841850163,20.744048627300565,1286.5499877929688,1294.4500122070312,1303.375,1309.6500244140625,1305.800048828125,0.002975702333191618,0.006555704593312728,0.006109671258627201,-0.007989480631783548,-0.01412866526031207,-0.01720633481073976,0.21064312954888093,0.004884543396653118,0.002278818536616045,-0.029521454300119987,0.004872652719189608,0.0015692431623543248,0.0028263939294730697,0.0022762259675705144,15035.3,0.03445225569160575,XAUUSD,0
2019-04-25,1275.800048828125,1280.800048828125,1275.800048828125,1280.5999755859375,95,1284.822533707186,1293.0430793188998,1297.4295412664608,1275.2261803729305,41.03262401937206,29.779375465618287,-7.479129529983538,-6.100417100437345,-1.3787124295461934,22.737945195779933,17.47881705964266,8.136499935616364,7.167648853891739,1308.0367146583267,1285.8500061035156,1263.6632975487046,44.373417109622096,0.27351401063923575,26.136916689309945,38.570776876851944,20.63452328083757,1279.7000122070312,1294.4500122070312,1303.375,1309.6500244140625,1322.699951171875,0.002950040435874479,0.0062297335691018085,0.0061045290063511445,-0.007022358841285145,-0.013335232805899575,-0.016671034341658786,0.21729610051453613,0.00023524016317133523,0.0028298206213055455,-0.026032502443223415,0.00023521249854262027,0.005107865217732212,0.0018044556608970681,0.002825824216561614,4726.9,0.02009773847553365,XAUUSD,0
2019-04-26,1284.9000244140625,1284.9000244140625,1284.9000244140625,1284.9000244140625,804,1284.8299162345895,1292.7101799086704,1297.2031427033223,1276.1544851618048,46.61745804855197,77.82834922283226,-6.532366133419828,-6.186806908560217,-0.34555922485961066,43.85158960560787,29.543770209351177,8.205503319240671,7.443696746760099,1307.7161442001589,1285.6050048828124,1263.493865565466,44.222278634692884,0.48405825094239163,27.6394950627672,35.50724056852723,20.048911675542755,1276.6500244140625,1294.4500122070312,1305.3250122070312,1309.6500244140625,1323.4000244140625,0.0040740085845379906,0.004938424551471622,0.0054126819334422436,5.4566116952230905e-05,-0.0060416910271099454,-0.009484342031133686,0.4385158960560787,0.007132760023246698,0.010220929122152445,-0.003799057395380445,0.0071074422097751645,0.007342654708317912,0.012215307427507514,0.010169048637790945,377.2,2.1314952279957584,XAUUSD,0
2019-04-29,1278.5999755859375,1284.9000244140625,1277.0999755859375,1284.800048828125,568,1284.2364096150272,1292.1342943860097,1296.8697052021107,1275.850494119354,38.5661172238552,61.42866485013624,-6.217804805565265,-6.193006488048856,-0.024798317516409263,29.234298661757418,31.941277821048406,8.176470516364466,7.494604379305417,1306.9199196703964,1284.8850036621093,1262.8500876538221,44.06983201657431,0.3573847961615094,25.751467191398902,39.91268021319346,20.15757342418752,1275.5999755859375,1294.4500122070312,1305.3250122070312,1311.0999755859375,1328.300048828125,0.005158121790162241,0.0050923419964070795,0.005473385361603942,-0.004388938038892203,-0.01047439020763969,-0.014087559870423498,0.2923429866175742,-0.004903143208358163,0.0040046922543679475,-0.011136909832994979,-0.004915203051928451,0.0021922391578468687,0.0024274516563894334,0.003996694818743843,342.35,1.6591207828245946,XAUUSD,0
2019-04-30,1282.800048828125,1283.300048828125,1280.800048828125,1281.699951171875,114,1284.0995760240908,1291.753939716713,1296.6195198065425,1276.388738800298,36.84881574661476,67.0846646895628,-5.565998451999121,-6.06760487942089,0.5016064274217689,38.97925369963889,37.35504732233473,7.92758513702726,7.09538435249977,1306.5941261932921,1284.6050048828124,1262.6158835723327,43.97824262095946,0.4589579767831107,24.658428153248217,38.218558582530946,20.258433672318215,1275.4500122070312,1294.4500122070312,1307.5,1311.0999755859375,1337.5999755859375,0.004663798892734959,0.005197389700501632,0.00548902932482366,-0.0010120143485986056,-0.006931576218417841,-0.01065807722876127,0.3897925369963889,0.003284900142644487,0.010635783093574824,-0.004346457218117661,0.0032795166444519316,-0.0016356864074764724,0.005471755802298683,0.010579621020030922,314.3,0.36271078587336936,XAUUSD,0
2019-05-01,1281.4000244140625,1283.300048828125,1278.699951171875,1278.699951171875,70,1283.8424124024425,1291.332680863866,1296.3509911008732,1276.6334561135484,31.409428743708062,62.46057754142487,-5.103396553649645,-5.874763212522146,0.771366658872501,37.46966803389458,35.22774013176363,7.689399784181498,6.73891383490877,1306.0559993674128,1284.1750061035157,1262.2940128396185,43.761986527794306,0.43658922024276225,23.602489663780162,38.53693487129198,20.52872083270053,1275.4500122070312,1290.7999877929688,1310.3250122070312,1311.25,1341.199951171875,0.004544612392453085,0.003629999178449269,0.005481486033507938,-0.0019024048160315777,-0.0076917874045895306,-0.011533116254351931,0.35730935353678395,-0.0010913816345279326,0.00462565614587418,-0.0066666477410368685,-0.001091977625138958,0.0021875390193130174,-0.0027276640326154393,0.00461499067570243,291.55,0.24009603841536614,XAUUSD,0
2019-05-02,1269.699951171875,1270.800048828125,1266.5999755859375,1269.199951171875,63,1282.4952105075308,1290.4538249103266,1295.8843573206132,1274.754106530377,35.61643581096773,50.510076978650254,-5.614782810572933,-5.822767131756008,0.20798432118307453,13.503459398291907,29.984127043941793,8.198310516285328,7.890507288340804,1305.7856455389158,1283.1650024414062,1260.5443593438965,45.241286195019256,0.20237249198689747,20.552987355428282,44.1209907440049,21.667757543811376,1275.4500122070312,1288.5499877929688,1310.3250122070312,1311.25,1324.699951171875,0.006438868979774541,0.004788292574062566,0.00582353544397455,-0.009976847656680348,-0.016082616315150823,-0.020205820064745108,0.0858457834737662,-0.009130695348267603,-0.004781390047643552,-0.015660185177036046,-0.009172635638250213,-0.010264613263389137,-0.006985096618937234,-0.004792857461090371,286.1,0.2202027263194687,XAUUSD,0
2019-05-03,1279.199951171875,1279.199951171875,1270.0999755859375,1270.0999755859375,15,1282.1813128683232,1289.9972665918735,1295.5944211644075,1274.8936092803233,42.21310586920813,54.3528587266847,-5.194614981243376,-5.697136700926131,0.5025217196827549,61.971459682503294,37.648195704896594,8.291459527248167,8.120435287515093,1305.1877635582823,1282.675,1260.1622364417176,45.02552711656472,0.42282047428054437,26.117438871734585,40.50348917686498,21.662470868683332,1275.4500122070312,1288.5499877929688,1311.3000183105469,1311.25,1326.4000244140625,0.006549328365280343,0.005366518686273655,0.006109303591412623,-0.002325226289391689,-0.008370029688919155,-0.012654014037663206,0.3062635417404234,0.007482082669399093,-0.004436199808453445,-0.007602830743308808,0.007454230729596022,-0.001718404908654146,-0.0028103825337931114,-0.004446068941269561,273.4,0.0548646671543526,XAUUSD,0
2019-05-06,1281.699951171875,1282.199951171875,1280.300048828125,1282.199951171875,12,1282.135460515922,1289.66110779122,1295.3547477628038,1275.5004661640626,46.4533468249899,56.59941450199899,-4.607036396856074,-5.47911663910232,0.8720802422462457,81.77078697404728,52.415235351614164,7.91285202246613,7.3889432534056585,1304.4585596468673,1282.2399963378907,1260.021433028914,44.437126617953254,0.48784698275703703,28.121651951360185,39.404750563326445,21.308011939689084,1275.75,1287.5499877929688,1306.625,1311.25,1331.9000244140625,0.0062028835906096595,0.0053807152554261085,0.006123216747965709,-0.00033967498556800816,-0.00617306094698008,-0.010541356809408263,0.3642682149684911,0.0019543465411406835,0.0024245077781397395,-0.006742152106001376,0.0019524392904874438,0.00940667002008338,0.000234034381833124,0.002421573401146134,264.95,0.04529156444612191,XAUUSD,0
2019-05-07,1283.5,1283.5,1280.5,1280.5,8,1282.2654381530463,1289.4118193531142,1295.1517404707126,1276.3800493141628,59.159665589577884,48.12832304664423,-3.9507493959686144,-5.173443189342953,1.2226937933743383,92.59247298632685,78.77823988095913,7.5613770570941226,6.761950420572607,1302.6683760291914,1281.5599975585938,1260.451619087996,42.2167569411954,0.5459533744884412,28.553473946003994,38.28626687235562,20.82528632309722,1275.75,1287.5499877929688,1305.3999938964844,1311.25,1339.199951171875,0.006046849803231993,0.005199281204584389,0.006001105374555221,0.0009627974132500839,-0.0045848962018047125,-0.008996428840436803,0.40603271259647383,0.001404422951314821,0.0005456432376302889,-0.010484909291432198,0.001403437671793296,0.003355876962280844,0.01081010769187672,0.0005454944284875773,262.2,0.030511060259344015,XAUUSD,0
2019-05-08,1279.4000244140625,1279.4000244140625,1279.4000244140625,1279.4000244140625,5,1281.9925007668298,1289.007229946413,1294.8839207477722,1276.4207695735327,55.69625387505191,51.13642668886115,-3.71825681458904,-4.882405913529455,1.164149098940415,70.89950849001156,81.75425615012857,7.313769751123441,6.38166781292404,1298.769458964417,1280.354998779297,1261.9405385941768,36.82892037024021,0.4740699875088901,27.408460934767447,37.82681625137958,20.477960596445612,1275.75,1287.5499877929688,1305.2999877929688,1311.25,1340.0999755859375,0.0062230712357053755,0.00517787612816696,0.005887189628578581,-0.0020222242729318876,-0.007453182037427251,-0.011957748556154776,0.31090561495432983,-0.0031943713174424904,-0.0015607928530472215,-0.01848866558184692,-0.003199484212726764,-0.001796046540933451,0.00015639274955389708,-0.0015620121591002206,260.95,0.019160758766047135,XAUUSD,0
